credit_rating,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,capital,operating_cash_flow,interest_bearing_debt,debt_ratio,ROA,ROE,asset_turnover_ratio,interest_to_assets_ratio,interest_to_revenue_ratio,cash_flow_to_interest,interest_to_cash_flow,log_total_assets,log_total_liabilities
AAA,95311.0,21797.4,14220.4,347183.2,270573.9,97286.3,63234.0,25059.1,103723.0,4.3,0.0,0.1,0.3,0.3,1.1,0.2,4.1,5.5,5.4
AAA,164860.2,25551.5,15535.5,606168.5,294577.9,310476.1,42534.8,27319.4,124316.6,6.9,0.0,0.1,0.3,0.2,0.8,0.2,4.6,5.8,5.5
AAA,246851.1,28698.0,17335.5,556732.3,242764.8,270818.2,0.1,40549.2,69474.0,2427648.3,0.0,0.1,0.4,0.1,0.3,0.6,1.7,5.7,5.4
AAA,126238.1,35626.4,8833.0,277601.8,207027.4,42759.6,0.1,24206.0,161491.1,2070274.0,0.0,0.2,0.5,0.6,1.3,0.1,6.7,5.4,5.3
AAA,280593.7,6494.9,6065.7,525137.6,352444.1,99806.8,72361.6,56895.1,151314.7,4.9,0.0,0.1,0.5,0.3,0.5,0.4,2.7,5.7,5.5
AAA,190756.5,20161.4,13431.4,437296.7,276128.4,142856.2,107398.1,31852.4,107724.2,2.6,0.0,0.1,0.4,0.2,0.6,0.3,3.4,5.6,5.4
AAA,179323.0,10114.5,15171.7,226366.6,35261.6,146764.0,34921.9,24729.8,103272.9,1.0,0.1,0.1,0.8,0.5,0.6,0.2,4.2,5.4,4.5
AAA,298407.1,24159.4,5041.3,392821.8,184431.1,111312.0,0.1,15128.6,86263.0,1844311.3,0.0,0.0,0.8,0.2,0.3,0.2,5.7,5.6,5.3
AAA,30388.8,-1078.8,5339.7,333142.3,158293.1,199066.1,0.1,1025.8,150850.8,1582930.9,0.0,0.0,0.1,0.5,5.0,0.0,146.9,5.5,5.2
AAA,247092.8,15517.6,13195.3,375717.9,127815.3,207204.7,58051.3,43131.2,10602.3,2.2,0.0,0.1,0.7,0.0,0.0,4.1,0.2,5.6,5.1
AAA,167588.4,17113.4,7332.7,405629.7,212115.1,189730.0,131663.8,33485.8,95817.6,1.6,0.0,0.0,0.4,0.2,0.6,0.3,2.9,5.6,5.3
AAA,236821.2,23825.6,17663.6,526416.8,267838.5,207970.6,0.1,32954.2,107453.9,2678385.0,0.0,0.1,0.4,0.2,0.5,0.3,3.3,5.7,5.4
AAA,73043.0,27233.3,18481.9,256775.7,37575.9,244904.3,0.1,52974.2,35718.4,375759.3,0.1,0.1,0.3,0.1,0.5,1.5,0.7,5.4,4.6
AAA,214359.2,18312.3,10445.8,394377.1,94690.8,261730.3,59875.1,21255.5,72758.2,1.6,0.0,0.0,0.5,0.2,0.3,0.3,3.4,5.6,5.0
AAA,17143.4,1056.1,1584.1,86037.4,17138.1,106507.2,0.1,28165.6,25516.7,171381.5,0.0,0.0,0.2,0.3,1.5,1.1,0.9,4.9,4.2
AAA,177896.8,22037.2,12685.2,467120.8,251493.1,205838.3,140549.5,50218.9,145036.5,1.8,0.0,0.1,0.4,0.3,0.8,0.3,2.9,5.7,5.4
AAA,116523.6,-2236.4,-8601.1,344995.6,123126.8,246491.2,40143.5,42652.3,-1901.6,3.1,-0.0,-0.0,0.3,-0.0,-0.0,-22.4,-0.0,5.5,5.1
AAA,182403.3,15198.4,15162.5,310976.7,132307.7,174968.7,174968.7,36913.9,52263.7,0.8,0.0,0.1,0.6,0.2,0.3,0.7,1.4,5.5,5.1
AAA,180847.4,12347.2,12054.3,497927.8,251405.1,186995.5,0.1,-4465.8,201493.6,2514050.9,0.0,0.1,0.4,0.4,1.1,-0.0,-45.1,5.7,5.4
AAA,171640.2,9870.4,7324.7,307488.5,143408.4,142261.0,0.1,44440.0,32143.0,1434084.4,0.0,0.1,0.6,0.1,0.2,1.4,0.7,5.5,5.2
AAA,77232.5,23378.0,15473.2,248956.3,189576.8,79207.5,0.1,50833.9,43382.9,1895767.6,0.1,0.2,0.3,0.2,0.6,1.2,0.9,5.4,5.3
AAA,33704.5,-371.7,11073.4,338394.7,299283.7,71849.6,54126.8,9698.4,170232.4,5.5,0.0,0.2,0.1,0.5,5.1,0.1,17.6,5.5,5.5
AAA,192696.6,20385.5,5867.1,240992.2,168947.1,43636.6,17326.2,25778.6,2755.5,9.8,0.0,0.1,0.8,0.0,0.0,9.4,0.1,5.4,5.2
AAA,33840.8,357.4,536.1,351616.2,314957.4,67732.5,0.1,17849.6,133640.6,3149574.3,0.0,0.0,0.1,0.4,3.9,0.1,7.5,5.5,5.5
AAA,140734.4,26664.9,27743.5,371379.7,255724.3,84293.3,3352.9,8507.2,194433.5,76.3,0.1,0.3,0.4,0.5,1.4,0.0,22.9,5.6,5.4
AAA,81830.3,29515.1,16076.5,325275.5,84348.6,268411.4,0.1,59613.2,27602.2,843486.1,0.0,0.1,0.3,0.1,0.3,2.2,0.5,5.5,4.9
AAA,48017.9,24008.9,7646.8,274979.2,259984.2,80398.3,80398.3,31248.6,71671.6,3.2,0.0,0.1,0.2,0.3,1.5,0.4,2.3,5.4,5.4
AAA,250310.4,33099.8,14620.9,416809.7,184460.9,179129.7,58689.6,53158.4,95952.5,3.1,0.0,0.1,0.6,0.2,0.4,0.6,1.8,5.6,5.3
AAA,120050.3,-4633.9,-1843.0,496245.9,298390.8,190431.5,0.1,20391.9,141817.1,2983907.6,-0.0,-0.0,0.2,0.3,1.2,0.1,7.0,5.7,5.5
AAA,31465.4,4169.9,5990.6,313187.9,198732.6,176304.0,70960.9,-4108.6,32272.8,2.8,0.0,0.0,0.1,0.1,1.0,-0.1,-7.9,5.5,5.3
AAA,194791.8,8383.5,10148.4,513980.0,300447.8,161007.2,0.1,21545.3,158582.4,3004477.6,0.0,0.1,0.4,0.3,0.8,0.1,7.4,5.7,5.5
AAA,159475.1,20648.3,27403.4,473679.2,215041.2,251140.0,0.1,34159.5,88870.5,2150411.9,0.1,0.1,0.3,0.2,0.6,0.4,2.6,5.7,5.3
AAA,22138.5,11069.3,16603.9,338614.9,240413.9,164909.2,155295.9,27543.9,132569.4,1.5,0.0,0.1,0.1,0.4,6.0,0.2,4.8,5.5,5.4
AAA,2555.1,-1277.6,657.4,346191.4,210042.0,178629.6,0.1,2248.9,115732.0,2100419.9,0.0,0.0,0.0,0.3,45.3,0.0,51.4,5.5,5.3
AAA,217500.5,16237.1,12146.4,494862.1,258097.3,188609.1,0.1,29495.1,85206.3,2580972.9,0.0,0.1,0.4,0.2,0.4,0.3,2.9,5.7,5.4
AAA,67678.6,15538.4,6336.5,211812.0,75501.2,179619.2,114679.0,17300.8,26783.2,0.7,0.0,0.0,0.3,0.1,0.4,0.6,1.5,5.3,4.9
AAA,235028.5,26578.5,15866.4,468154.1,304832.3,108429.3,32205.6,46403.0,143742.3,9.5,0.0,0.1,0.5,0.3,0.6,0.3,3.1,5.7,5.5
AAA,68077.8,-1444.4,6836.9,548542.7,378743.0,214541.6,174992.2,16803.7,194594.2,2.2,0.0,0.0,0.1,0.4,2.9,0.1,11.6,5.7,5.6
AAA,89978.0,10540.4,12384.2,228972.2,11652.4,243336.8,4242.7,21852.0,-12545.6,2.7,0.1,0.1,0.4,-0.1,-0.1,-1.7,-0.6,5.4,4.1
AAA,230931.1,27434.6,14026.7,535353.2,270303.4,218985.3,42515.7,6995.7,119827.9,6.4,0.0,0.1,0.4,0.2,0.5,0.1,17.1,5.7,5.4
